OBJECTID;CODECARTO;LIBELLE;HISTO;NATURE;LIENDOC;REFERENTIEL;TIMESTAMP;WKT_GEOM
"27359";"62096-INV-0180-01";"habitation";"présent à l'IPA en 2009";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62096-INV-0180-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (230913.541000001 144970.462000001)"
"27360";"57081-INV-2085-01";"Maison(s) rurale(s)";"présent à l'IPIC en 2017";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/57081-INV-2085-01";"";"2026-03-24T00:00:00";"MULTIPOINT (76263.5860000029 141264.684)"
"27361";"92094-INV-0616-02";"habitation (Habitation)";"présent à l'IPM en 1975 présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/92094-INV-0616-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (185143.818000004 128172.423999999)"
"27362";"53053-INV-0954-02";"couvent (Couvent des Capucines, église Notre Dame de la Belle Dilection)";"présent à l'IPM en 1975 présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-0954-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (119808.292000003 126784.920000002)"
"27363";"53053-INV-1822-01";"habitation - magasin";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-1822-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120493.081 127253.772999998)"
"27364";"53053-INV-2247-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-2247-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120609.717 127509.09)"
"27365";"25107-INV-0094-01";"maison communale";"présent à l'IPIC en 2018";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25107-INV-0094-01";"";"2026-03-24T00:00:00";"MULTIPOINT (161321.908 140900.688000001)"
"26652";"53046-INV-0314-01";"habitation";"présent à l'IPA en 2007";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53046-INV-0314-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (118310.739 140708.616)"
"26653";"53053-INV-2680-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-2680-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120688.333999999 127140.600000001)"
"27939";"53083-INV-0107-02";"ferme";"présent à l'IPM en 1975 présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53083-INV-0107-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (102024.994000003 113930.156)"
"27940";"62060-INV-0111-01";"habitation";"présent à l'IPIC en 2017";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62060-INV-0111-01";"";"2026-03-24T00:00:00";"MULTIPOINT (234784.32 158112.333999999)"
"27941";"53053-INV-1050-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-1050-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (127110.840000004 128021.331)"
"27942";"53083-INV-0371-01";"hangar";"présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53083-INV-0371-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (108384.908 116303.712000001)"
"27943";"53014-INV-0116-01";"atelier";"présent à l'IPA en 2004";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53014-INV-0116-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (109629.030000001 124959.927999999)"
"27944";"82003-INV-0108-01";"";"présent à l'IPM en 1993";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/82003-INV-0108-01";"";"2026-03-24T00:00:00";"MULTIPOINT (248162.148999997 68364.4510000013)"
"26586";"63072-INV-0026-02";"monument commémoratif (Perron)";"présent à l'IPM en 1985 présent à l'IPIC en 2015";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/63072-INV-0026-02";"";"2026-03-24T00:00:00";"MULTIPOINT (256307.395999998 132469.896000002)"
